"id","study_env_Campus Common Spaces","study_env_Classroom","study_env_Coffee shop","study_env_Home","study_env_Library","study_env_Other","study_env_Park or outdoor space","background_noise_Comfortable with some ambient noise","background_noise_Like listening to music","background_noise_Prefer a bustling environment","background_noise_Prefer complete silence","study_time_Afternoon","study_time_Early morning","study_time_Evening","study_time_Late morning","study_time_Night","study_time_No specific preference","resources_Interactive simulations or applications","resources_Lecture notes","resources_Online articles and resources","resources_Other","resources_Textbooks","resources_Videos and multimedia","consumed_beverages_Coffee","consumed_beverages_Energy drinks","consumed_beverages_Soft drinks/sodas","consumed_beverages_Tea","consumed_beverages_Water","manage_stress_Engaging in a hobby or creative activity","manage_stress_Exercise","manage_stress_Hanging out with friends/family","manage_stress_Listening to music","manage_stress_Meditation","manage_stress_Other","manage_stress_Spending time in nature","manage_stress_Taking short breaks between study sessions","manage_stress_Watching movies or TV shows","timestamp","gender","age","academic_level","field_of_study","university","employment_status","hours_spend_studying","attendance","help_from_professors","extracurricular_activities","gpa","studying_in_groups","breaks","avg_sleep","eating_habits","eat_freq","caffeine_freq","physical_activity_freq","academic_goals","future_plans"
15,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,"11/17/2023 17:04:37","Male","18-24","Freshman","Geography","JGU Mainz","Employed part-time","21 to 30 hours","Yes, most of the time","Rarely","No",2.3,"Enjoy occasional group study sessions","10 to 20 minutes","5 to 6 hours","Somewhat healthy","I don't have regular meal times","Daily","Once a week","Explore new academic interests","Undecided"
16,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,"11/17/2023 17:47:06","Female","18-24","Sophomore","Computer Science","JGU Mainz","Employed part-time","11 to 20 hours","Rarely","Never","No",2.3,"Prefer studying alone","41 to one hour","7 to 8 hours","Somewhat unhealthy","Two times","Rarely or never","Once a week","Maintain current academic standing","Yes, but after gaining work experience"
17,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,"11/18/2023 17:27:00","Male","18-24","Junior","Business","AUA","Unemployed","21 to 30 hours","Yes, most of the time","Occasionally","Yes",2.8,"Enjoy occasional group study sessions","Less than 10 minutes","5 to 6 hours","Unhealthy","I don't have regular meal times","Occasionally","Once a week","Other","No, I do not plan to pursue further education"
18,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,"11/17/2023 17:34:16","Female","18-24","Sophomore","English and Communications","AUA","Unemployed","21 to 30 hours","Yes, always","Rarely","Yes",2.9,"Enjoy occasional group study sessions","10 to 20 minutes","5 to 6 hours","Somewhat unhealthy","Four or more times","Daily","Several times a week","Improve grades in specific subjects","Yes, but after gaining work experience"
19,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,"11/19/2023 15:24:33","Male","18-24","Freshman","Law","UFAR","Unemployed","21 to 30 hours","Yes, always","Occasionally","Yes",2.9,"Prefer studying in a group regularly","21 to 40 minutes","More than 8 hours","Neutral","I don't have regular meal times","Multiple times a day","Once a week","Explore new academic interests","Yes, immediately after graduation"
20,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,"11/17/2023 16:49:28","Female","18-24","Senior","Data Science","AUA","Unemployed","21 to 30 hours","Yes, most of the time","Rarely","Yes",2.94,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Somewhat unhealthy","Two times","Rarely or never","Rarely","Improve grades in specific subjects","Yes, but after gaining work experience"
21,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"11/17/2023 18:17:35","Female","18-24","Sophomore","Graphic design","UBA ","Employed part-time","21 to 30 hours","Yes, always","Rarely","Yes",2.96,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Neutral","Two times","Rarely or never","Several times a week","Improve grades in specific subjects","Yes, but after gaining work experience"
22,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,"11/17/2023 9:16:27","Female","18-24","Junior","Data Science","AUA","Unemployed","41 to 50 hours","Yes, most of the time","Occasionally","No",2.98,"Enjoy occasional group study sessions","41 to one hour","5 to 6 hours","Somewhat healthy","Two times","Multiple times a day","Several times a week","Improve grades in specific subjects","No, I do not plan to pursue further education"
23,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,"11/19/2023 8:48:04","Male","25-30","Senior","English and Communications","AUA","Unemployed","31 to 40 hours","Yes, always","Rarely","No",3,"Prefer studying alone","21 to 40 minutes","Less than 5 hours","Unhealthy","I don't have regular meal times","Occasionally","Rarely","Explore new academic interests","Undecided"
24,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,"11/19/2023 15:06:01","Male","18-24","Senior","Engineering Science","AUA","Unemployed","31 to 40 hours","Yes, always","Occasionally","Yes",3,"Prefer studying alone","21 to 40 minutes","7 to 8 hours","Healthy","Three times (breakfast, lunch, dinner)","Daily","Several times a week","Pursue advanced coursework or certifications","Yes, but after gaining work experience"
25,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"11/19/2023 15:23:20","Male","18-24","Freshman","Applied Mathematics and Informatics","UFAR","Unemployed","21 to 30 hours","Occasionally","Frequently","Yes",3,"Prefer studying in a group regularly","10 to 20 minutes","7 to 8 hours","Neutral","Three times (breakfast, lunch, dinner)","Daily","Once a week","Improve grades in specific subjects","Yes, but after gaining work experience"
26,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,"11/19/2023 17:31:13","Male","18-24","Senior","Data Science","AUA","Employed full-time","11 to 20 hours","Yes, most of the time","Rarely","No",3.1,"Prefer studying alone","41 to one hour","7 to 8 hours","Somewhat unhealthy","Three times (breakfast, lunch, dinner)","Daily","Several times a week","Pursue advanced coursework or certifications","No, I do not plan to pursue further education"
27,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,"11/18/2023 16:40:05","Female","18-24","Senior","Business","AUA","Unemployed","Less than 10 hours","Yes, always","Occasionally","No",3.2,"Prefer studying alone","10 to 20 minutes","7 to 8 hours","Neutral","Three times (breakfast, lunch, dinner)","Daily","Rarely","Improve grades in specific subjects","Yes, but after gaining work experience"
28,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,"11/18/2023 19:47:05","Female","18-24","Senior","Engineering Science","AUA","Employed part-time","11 to 20 hours","Yes, most of the time","Occasionally","Yes",3.2,"Enjoy occasional group study sessions","10 to 20 minutes","7 to 8 hours","Somewhat unhealthy","Two times","Occasionally","Several times a week","Pursue advanced coursework or certifications","Yes, but after gaining work experience"
29,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,"11/19/2023 11:23:28","Male","18-24","Sophomore","Data Science","AUA","Unemployed","21 to 30 hours","Yes, always","Rarely","No",3.2,"Enjoy occasional group study sessions","21 to 40 minutes","5 to 6 hours","Neutral","Two times","Multiple times a day","Never","Maintain current academic standing","Yes, immediately after graduation"
30,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"11/17/2023 18:00:28","Female","18-24","Senior","Marketing and business planning","ASUE","Employed full-time","Less than 10 hours","Occasionally","Occasionally","No",3.3,"Prefer studying alone","10 to 20 minutes","7 to 8 hours","Neutral","Three times (breakfast, lunch, dinner)","Daily","Several times a week","Maintain current academic standing","Yes, but after gaining work experience"
31,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,"11/18/2023 16:37:41","Female","18-24","Sophomore","Computer Science","AUA","Unemployed","21 to 30 hours","Yes, always","Frequently","Yes",3.3,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Somewhat healthy","Two times","Rarely or never","Once a week","Explore new academic interests","Undecided"
32,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,"11/18/2023 17:34:37","Female","18-24","Sophomore","Business","AUA","Unemployed","31 to 40 hours","Yes, always","Frequently","No",3.3,"Prefer studying alone","Less than 10 minutes","5 to 6 hours","Neutral","I don't have regular meal times","Daily","Once a week","Maintain current academic standing","Undecided"
33,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,"11/17/2023 9:43:26","Female","18-24","Senior","Computer Science","AUA","Employed full-time","Less than 10 hours","Yes, most of the time","Occasionally","Yes",3.309,"Enjoy occasional group study sessions","21 to 40 minutes","7 to 8 hours","Somewhat healthy","I don't have regular meal times","Occasionally","Daily","Other","Yes, but after gaining work experience"
34,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,"11/17/2023 17:28:29","Female","18-24","Senior","Data Science","AUA","Employed part-time","21 to 30 hours","Yes, most of the time","Rarely","No",3.4,"Enjoy occasional group study sessions","21 to 40 minutes","7 to 8 hours","Neutral","Two times","Multiple times a day","Daily","Improve grades in specific subjects","Yes, but after gaining work experience"
35,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,"11/17/2023 17:38:51","Female","31-40","Graduate student","Business Administration","AUA","Employed full-time","11 to 20 hours","Yes, always","Never","No",3.4,"Prefer studying alone","10 to 20 minutes","5 to 6 hours","Somewhat healthy","Three times (breakfast, lunch, dinner)","Multiple times a day","Several times a week","Explore new academic interests","Undecided"
36,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"11/19/2023 4:13:52","Male","18-24","Freshman","Business","AUA","Employed part-time","11 to 20 hours","Yes, always","Occasionally","Yes",3.4,"Prefer studying in a group regularly","10 to 20 minutes","5 to 6 hours","Neutral","Two times","Occasionally","Several times a week","Explore new academic interests","Yes, immediately after graduation"
37,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,"11/19/2023 9:24:34","Female","18-24","Senior","Data Science","AUA","Unemployed","11 to 20 hours","Yes, most of the time","Occasionally","No",3.4,"Enjoy occasional group study sessions","21 to 40 minutes","5 to 6 hours","Somewhat healthy","Three times (breakfast, lunch, dinner)","Multiple times a day","Rarely","Pursue advanced coursework or certifications","Yes, but after gaining work experience"
38,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,"11/19/2023 12:08:04","Female","18-24","Junior","Politics and Governance","AUA","Unemployed","11 to 20 hours","Yes, most of the time","Rarely","Yes",3.4,"Enjoy occasional group study sessions","10 to 20 minutes","5 to 6 hours","Neutral","Three times (breakfast, lunch, dinner)","Multiple times a day","Rarely","Improve grades in specific subjects","Yes, immediately after graduation"
39,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,"11/19/2023 13:18:45","Female","18-24","Freshman","Data Science","AUA","Unemployed","41 to 50 hours","Yes, always","Occasionally","Yes",3.5,"Enjoy occasional group study sessions","41 to one hour","5 to 6 hours","Neutral","Three times (breakfast, lunch, dinner)","Multiple times a day","Rarely","Improve grades in specific subjects","Undecided"
40,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,"11/18/2023 16:36:45","Female","18-24","Senior","Data Science","AUA","Unemployed","21 to 30 hours","Yes, always","Occasionally","No",3.54,"Enjoy occasional group study sessions","21 to 40 minutes","5 to 6 hours","Somewhat healthy","Three times (breakfast, lunch, dinner)","Occasionally","Rarely","Improve grades in specific subjects","Yes, but after gaining work experience"
41,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,"11/17/2023 13:56:39","Female","18-24","Senior","Computer Science","AUA","Employed full-time","Less than 10 hours","Yes, always","Occasionally","No",3.6,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Neutral","Three times (breakfast, lunch, dinner)","Multiple times a day","Rarely","Maintain current academic standing","Yes, immediately after graduation"
42,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,"11/17/2023 17:27:01","Female","18-24","Senior","Computer Science","AUA","Unemployed","21 to 30 hours","Yes, always","Frequently","No",3.6,"Prefer studying alone","10 to 20 minutes","7 to 8 hours","Neutral","Two times","Multiple times a day","Rarely","Explore new academic interests","Yes, immediately after graduation"
43,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,"11/18/2023 18:16:14","Female","18-24","Senior","English and Communications","AUA","Unemployed","21 to 30 hours","Yes, always","Occasionally","No",3.6,"Enjoy occasional group study sessions","21 to 40 minutes","5 to 6 hours","Neutral","Two times","Daily","Once a week","Maintain current academic standing","Yes, but after gaining work experience"
44,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"11/19/2023 15:36:25","Female","18-24","Freshman","Medicine","YSMU","Unemployed","31 to 40 hours","Yes, always","Occasionally","Yes",3.6,"Prefer studying alone","More than an hour","5 to 6 hours","Neutral","I don't have regular meal times","Multiple times a day","Rarely","Explore new academic interests","Undecided"
45,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,"11/19/2023 17:13:29","Female","18-24","Senior","Design","SAFA","Unemployed","21 to 30 hours","Yes, most of the time","Occasionally","No",3.6,"Prefer studying alone","10 to 20 minutes","7 to 8 hours","Neutral","I don't have regular meal times","Occasionally","Rarely","Explore new academic interests","Undecided"
46,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,"11/18/2023 23:03:45","Female","18-24","Graduate student","English Literature","RHUL","Employed part-time","11 to 20 hours","Yes, always","Frequently","No",3.62,"Enjoy occasional group study sessions","10 to 20 minutes","5 to 6 hours","Somewhat healthy","Three times (breakfast, lunch, dinner)","Multiple times a day","Rarely","Pursue advanced coursework or certifications","Yes, but after gaining work experience"
47,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,"11/18/2023 17:42:31","Female","18-24","Freshman","English and Communications","AUA","Unemployed","21 to 30 hours","Yes, always","Rarely","Yes",3.7,"Prefer studying alone","41 to one hour","5 to 6 hours","Neutral","Four or more times","Occasionally","Several times a week","Maintain current academic standing","Undecided"
48,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,"11/19/2023 4:52:19","Female","18-24","Senior","Data Science","AUA","Employed full-time","Less than 10 hours","Yes, always","Occasionally","No",3.7,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Somewhat unhealthy","Two times","Daily","Rarely","Explore new academic interests","Yes, but after gaining work experience"
49,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,"11/18/2023 18:40:13","Female","18-24","Senior","English and Communications","AUA","Employed full-time","11 to 20 hours","Yes, most of the time","Rarely","No",3.74,"Prefer studying alone","10 to 20 minutes","5 to 6 hours","Neutral","One time","Multiple times a day","Rarely","Improve grades in specific subjects","Undecided"
50,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,"11/18/2023 16:35:39","Female","18-24","Junior","Politics and Governance","AUA","Employed part-time","11 to 20 hours","Yes, always","Occasionally","No",3.8,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Somewhat healthy","Two times","I don't consume caffeinated beverages","Daily","Maintain current academic standing","Yes, immediately after graduation"
51,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,"11/18/2023 19:00:20","Female","18-24","Junior","English and Communications","AUA","Unemployed","11 to 20 hours","Yes, always","Rarely","Yes",3.8,"Prefer studying alone","10 to 20 minutes","5 to 6 hours","Somewhat healthy","Two times","Daily","Several times a week","Maintain current academic standing","Yes, immediately after graduation"
52,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,"11/18/2023 19:44:00","Female","18-24","Junior","English and Communications","AUA","Unemployed","31 to 40 hours","Yes, always","Always","Yes",3.8,"Enjoy occasional group study sessions","10 to 20 minutes","5 to 6 hours","Somewhat unhealthy","Two times","Daily","Daily","Maintain current academic standing","Yes, immediately after graduation"
53,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"11/18/2023 23:44:09","Female","18-24","Senior","English and Communications","AUA","Employed full-time","21 to 30 hours","Yes, always","Frequently","No",3.8,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Somewhat healthy","Two times","Multiple times a day","Rarely","Explore new academic interests","Yes, immediately after graduation"
54,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,"11/19/2023 8:33:09","Male","Under 18","Senior","Computer Science",NA,"Unemployed","11 to 20 hours","Yes, most of the time","Always","Yes",3.8,"Prefer studying alone","21 to 40 minutes","7 to 8 hours","Neutral","I don't have regular meal times","Multiple times a day","Rarely","Explore new academic interests","Yes, immediately after graduation"
55,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,"11/19/2023 10:54:15","Female","18-24","Freshman","Business","AUA","Unemployed","11 to 20 hours","Yes, always","Rarely","Yes",3.8,"Enjoy occasional group study sessions","10 to 20 minutes","5 to 6 hours","Unhealthy","Two times","Multiple times a day","Several times a week","Explore new academic interests","Undecided"
56,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,"11/19/2023 15:47:53","Female","18-24","Sophomore","English and Communications","AUA","Unemployed","11 to 20 hours","Yes, most of the time","Rarely","Yes",3.8,"Prefer studying alone","21 to 40 minutes","5 to 6 hours","Somewhat unhealthy","I don't have regular meal times","Daily","Never","Improve grades in specific subjects","Undecided"
